dateTime,availability 0,availability 1,availability 2,availability 3,availability 4,availability 5,availability 6,availability 7,availability 8,availability 9,availability 10,availability 11,availability 12,availability 13,availability 14,availability 15,nedør,temp,vind,hour,count,count_last_hour,isHoliday,weekday,month,Mean_close_count_last_hour
2021-08-18 23:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,13.4,0.9,22,0,0.0,False,2,8,0.5
2021-08-18 00:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,12.8,1.2,23,0,0.0,False,2,8,0.0
2021-08-19 01:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,12.4,0.7,0,0,,False,3,8,0.0
2021-08-19 02:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,12.4,1.7,1,0,0.0,False,3,8,0.0
2021-08-19 03:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,12.5,3.3,2,0,0.0,False,3,8,0.0
2021-08-19 04:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,12.1,1.7,3,0,0.0,False,3,8,0.0
2021-08-19 05:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,9.7,1.3,4,0,0.0,False,3,8,0.0
2021-08-19 06:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,9.3,0.6,5,1,0.0,False,3,8,0.2857142857142857
2021-08-19 07:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,10.7,0.8,6,0,1.0,False,3,8,0.42857142857142855
2021-08-19 08:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,12.4,0.2,7,0,0.0,False,3,8,1.3571428571428572
2021-08-19 09:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,13.1,1.4,8,0,0.0,False,3,8,0.7857142857142857
2021-08-19 10:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,15.0,1.7,9,1,0.0,False,3,8,0.2857142857142857
2021-08-19 11:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,17.5,1.4,10,0,1.0,False,3,8,1.7142857142857142
2021-08-19 12:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,19.2,3.1,11,0,0.0,False,3,8,1.0714285714285714
2021-08-19 13:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,18.8,1.7,12,1,0.0,False,3,8,1.5714285714285714
2021-08-19 14:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,18.8,1.2,13,1,1.0,False,3,8,2.0
2021-08-19 15:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,20.0,1.4,14,2,1.0,False,3,8,4.142857142857143
2021-08-19 16:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,19.3,2.0,15,1,2.0,False,3,8,4.785714285714286
2021-08-19 17:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,20.1,0.8,16,0,1.0,False,3,8,3.642857142857143
2021-08-19 18:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,18.7,3.3,17,1,0.0,False,3,8,2.857142857142857
2021-08-19 19:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.3,17.1,2.0,18,0,1.0,False,3,8,2.2142857142857144
2021-08-19 20:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,16.6,0.9,19,1,0.0,False,3,8,1.3571428571428572
2021-08-19 21:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,14.8,3.2,20,0,1.0,False,3,8,1.7142857142857142
2021-08-19 22:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,12.7,1.5,21,0,0.0,False,3,8,1.0714285714285714
2021-08-19 23:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,12.0,2.3,22,1,0.0,False,3,8,1.0714285714285714
2021-08-19 00:00:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,11.6,2.7,23,0,1.0,False,3,8,0.0
2021-08-20 01:00:00,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,0.0,12.4,3.7,0,0,,False,4,8,0.0
